HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
37S0QRNUFBMC6A4VDBK011BHVR688M,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,39U1BHVTDMXCQHN6UU51Q0VE2ZTT3H,A3BUW407OHHDJE,Submitted,Sun Mar 22 14:36:41 PDT 2020,Sun Mar 22 14:37:00 PDT 2020,Wed Mar 25 14:37:00 PDT 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/404.jpg_bb12.jpg,"[{""height"":37,""label"":""1"",""left"":107,""top"":48,""width"":49},{""height"":36,""label"":""1"",""left"":147,""top"":3,""width"":36}]",256,256,,No digits were accurately labelled
3Q7TKIAPOTGJ2CK5O84KSYBOQI2DLJ,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,37UQDCYH6Y194SSI11864ZVF4MU7VF,A1G5PO0BLQPBJ7,Submitted,Sun Mar 22 14:29:13 PDT 2020,Sun Mar 22 14:30:00 PDT 2020,Wed Mar 25 14:30:00 PDT 2020,,,,47,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/404.jpg_bb13.jpg,"[{""height"":37,""label"":""5"",""left"":109,""top"":38,""width"":29},{""height"":39,""label"":""5"",""left"":134,""top"":39,""width"":32}]",256,256,x,
3LOJFQ4BOXL8I62N38SJDYY91IXDKG,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3R2UR8A0IBM8TNPCI2QQ36EVAMBOXO,A3JALH71LDP0TP,Submitted,Sun Mar 22 14:26:43 PDT 2020,Sun Mar 22 14:27:11 PDT 2020,Wed Mar 25 14:27:11 PDT 2020,,,,28,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/61.jpg_bb0.jpg,"[{""height"":35,""label"":""3"",""left"":113,""top"":50,""width"":25}]",256,256,x,
39HYCOOPKOR38U2QOK5ZSBQDQNSDML,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3TVSS0C0E269HFPU4EG3VX6B0SMTWM,AQ5H9HKYEGCXA,Submitted,Sun Mar 22 14:27:37 PDT 2020,Sun Mar 22 14:27:52 PDT 2020,Wed Mar 25 14:27:52 PDT 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/404.jpg_bb3.jpg,"[{""height"":65,""label"":""1"",""left"":84,""top"":60,""width"":60}]",256,256,x,
3VIVIU06FKIKG5ICGY6AJ86QIS0IMS,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3JPSL1DZ5T5EFPH76DYZ493SJRYNA5,A29IS23K76GS7W,Submitted,Sun Mar 22 14:30:08 PDT 2020,Sun Mar 22 14:31:00 PDT 2020,Wed Mar 25 14:31:00 PDT 2020,,,,52,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/61.jpg_bb4.jpg,"[{""height"":32,""label"":""1"",""left"":120,""top"":53,""width"":12},{""height"":36,""label"":""4"",""left"":133,""top"":49,""width"":12}]",256,256,x,
338GLSUI43H349TRZNWBSKS4UPQFSA,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,33SA9F9TRY07SW7XEJR8WB6AXI0EWI,A5N6QK76RTR7R,Submitted,Sun Mar 22 14:28:56 PDT 2020,Sun Mar 22 14:29:10 PDT 2020,Wed Mar 25 14:29:10 PDT 2020,,,,14,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/404.jpg_bb9.jpg,"[{""height"":41,""label"":""4"",""left"":100,""top"":39,""width"":36},{""height"":42,""label"":""2"",""left"":134,""top"":34,""width"":25}]",256,256,x,
324N5FAHSXHUCN29UTSDJK4G1P1KVM,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3GM6G9ZBKO3DC3VG0CAGMZ4K2Q9TMW,A3OPUNTS88DRNE,Submitted,Sun Mar 22 14:31:32 PDT 2020,Sun Mar 22 14:31:48 PDT 2020,Wed Mar 25 14:31:48 PDT 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/405.jpg_bb0.jpg,"[{""height"":31,""label"":""4"",""left"":110,""top"":41,""width"":25},{""height"":34,""label"":""2"",""left"":137,""top"":41,""width"":26}]",256,256,x,
3SX4X51T80FTAQKQHQTAUE7C0KAAOV,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:49 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:49 PDT 2020,,,3N2BF7Y2VR0N7U4L0ITR8G1WRWDMHE,A3ON1J03O5UJ0,Submitted,Sun Mar 22 14:27:07 PDT 2020,Sun Mar 22 14:27:29 PDT 2020,Wed Mar 25 14:27:29 PDT 2020,,,,22,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/611.jpg_bb4.jpg,"[{""height"":30,""label"":""5"",""left"":88,""top"":78,""width"":17},{""height"":32,""label"":""4"",""left"":107,""top"":76,""width"":21}]",256,256,x,
32L724R85LQQ18FP8EY20C0LNXBIPO,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,35BLDD71I73SO2YOKW0PVJOEEF6VZU,A2YBRWIUM45CAJ,Submitted,Sun Mar 22 14:26:13 PDT 2020,Sun Mar 22 14:26:37 PDT 2020,Wed Mar 25 14:26:37 PDT 2020,,,,24,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/405.jpg_bb5.jpg,"[{""height"":31,""label"":""1"",""left"":132,""top"":74,""width"":13},{""height"":35,""label"":""5"",""left"":149,""top"":68,""width"":20}]",256,256,x,
351S7I5UG92MTYNIAH6A8OAQ0XZNJ9,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3A9AA95ATXSHC4H3RWKA0NS1RSYP5X,A3JALH71LDP0TP,Submitted,Sun Mar 22 14:32:56 PDT 2020,Sun Mar 22 14:33:08 PDT 2020,Wed Mar 25 14:33:08 PDT 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/406.jpg_bb0.jpg,"[{""height"":38,""label"":""1"",""left"":108,""top"":56,""width"":18},{""height"":36,""label"":""5"",""left"":126,""top"":56,""width"":22}]",256,256,x,
3D17ECOUOE18UDE429GPVAGY1Z8315,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3BF51CHDTWGQ4GXEBD6TAJUJOTD0HI,A3BYOIVPK872GW,Submitted,Sun Mar 22 14:29:36 PDT 2020,Sun Mar 22 14:29:50 PDT 2020,Wed Mar 25 14:29:50 PDT 2020,,,,14,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/406.jpg_bb5.jpg,"[{""height"":36,""label"":""3"",""left"":109,""top"":64,""width"":23},{""height"":34,""label"":""0"",""left"":132,""top"":68,""width"":21}]",256,256,x,
356TQKY9XF386WZC36SUN1FMK7087Z,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3LKC68YZ3B9T4NKM8XU41N0O1K5WO3,A4PFF3LK637YM,Submitted,Sun Mar 22 14:28:01 PDT 2020,Sun Mar 22 14:28:20 PDT 2020,Wed Mar 25 14:28:20 PDT 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/615.jpg_bb4.jpg,"[{""height"":37,""label"":""9"",""left"":105,""top"":44,""width"":21},{""height"":36,""label"":""1"",""left"":132,""top"":62,""width"":24},{""height"":36,""label"":""3"",""left"":151,""top"":61,""width"":23}]",256,256,x,
3UEBBGULPFUJJMLVOSRB7LASFMBFUQ,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3YDTZAI2WYMWZTU1SPQAUZ4POGX140,A3ON1J03O5UJ0,Submitted,Sun Mar 22 14:26:24 PDT 2020,Sun Mar 22 14:27:04 PDT 2020,Wed Mar 25 14:27:04 PDT 2020,,,,40,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/406.jpg_bb6.jpg,"[{""height"":31,""label"":""4"",""left"":83,""top"":40,""width"":25},{""height"":30,""label"":""2"",""left"":107,""top"":33,""width"":29}]",256,256,x,
3MZ3TAMYTLTBDLV4L62R5700OFZIRG,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3HYA4D452SPDMU9MVAM7QMBL5CLF2K,A3HWMRB7GSM1IM,Submitted,Sun Mar 22 14:34:21 PDT 2020,Sun Mar 22 14:34:41 PDT 2020,Wed Mar 25 14:34:41 PDT 2020,,,,20,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/407.jpg_bb1.jpg,"[{""height"":82,""label"":""1"",""left"":88,""top"":57,""width"":51},{""height"":91,""label"":""5"",""left"":123,""top"":48,""width"":49}]",256,256,x,
3TZ0XG8CBUQCKFN5I3QE1X6SFXO89B,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3I3WADAZ9RAZR452CW7VBNNBHN25OW,A1NRZ7O1TEJB1V,Submitted,Sun Mar 22 14:29:54 PDT 2020,Sun Mar 22 14:30:16 PDT 2020,Wed Mar 25 14:30:16 PDT 2020,,,,22,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/616.jpg_bb5.jpg,"[{""height"":37,""label"":""3"",""left"":108,""top"":28,""width"":39},{""height"":37,""label"":""1"",""left"":124,""top"":96,""width"":39}]",256,256,x,
3P4ZBJFX2V9WBQA0JS6CP9VP02MFWP,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3G5F9DBFOQ36XHYUEAUIVCK9IPRHVS,A5Z0E99JKX0R1,Submitted,Sun Mar 22 14:34:19 PDT 2020,Sun Mar 22 14:34:31 PDT 2020,Wed Mar 25 14:34:31 PDT 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/407.jpg_bb5.jpg,"[{""height"":49,""label"":""0"",""left"":94,""top"":52,""width"":47}]",256,256,,No digits were accurately labelled
3W9XHF7WGK1FZVYKPYSYI2GV44LKT6,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,39ASUFLU6YDMHWCNOONUYUKH6K6EXB,A2YUS3H6ZGQWE7,Submitted,Sun Mar 22 14:29:04 PDT 2020,Sun Mar 22 14:29:11 PDT 2020,Wed Mar 25 14:29:11 PDT 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/617.jpg_bb2.jpg,"[{""height"":36,""label"":""1"",""left"":104,""top"":35,""width"":45}]",256,256,,No digits were accurately labelled
3OPLMF3EU5TSOOBID2INO3NI4M4NLB,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,32N49TQG3HORNUQG84KQEQX55U0AV9,A1G5PO0BLQPBJ7,Submitted,Sun Mar 22 14:30:00 PDT 2020,Sun Mar 22 14:30:41 PDT 2020,Wed Mar 25 14:30:41 PDT 2020,,,,41,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/407.jpg_bb6.jpg,"[{""height"":34,""label"":""3"",""left"":109,""top"":68,""width"":26},{""height"":34,""label"":""0"",""left"":127,""top"":69,""width"":32}]",256,256,x,
3JMQI2OLFZB9QCNQ0LKZ5QFDVD2DNL,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3EICBYG64526PENKBT2YHXCZAAFCJT,A2LASUDS4NLOZW,Submitted,Sun Mar 22 14:34:26 PDT 2020,Sun Mar 22 14:34:48 PDT 2020,Wed Mar 25 14:34:48 PDT 2020,,,,22,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/619.jpg_bb1.jpg,"[{""height"":40,""label"":""1"",""left"":98,""top"":55,""width"":20},{""height"":41,""label"":""0"",""left"":115,""top"":50,""width"":26}]",256,256,x,
3CMIQF80GNWV80L36Q423E0QJ22Q6T,3CU3NNU956RGVPSFSWVCGCZT5SJLJL,Draw bounding boxes around jersey number digits,Draw bounding boxes around jersey number digits,digit bounding box,$0.02,Sun Mar 22 14:24:50 PDT 2020,1,BatchId:3965272;OriginalHitTemplateId:928390838;,60,259200,Tue Mar 24 14:24:50 PDT 2020,,,3W2LOLRXLCL560ILBBS577BYP0GRKB,AXID3RPK6NZT6,Submitted,Sun Mar 22 14:27:35 PDT 2020,Sun Mar 22 14:28:31 PDT 2020,Wed Mar 25 14:28:31 PDT 2020,,,,56,0% (0/0),0% (0/0),0% (0/0),https://cs691-football-dataset.s3.amazonaws.com/419.jpg_bb0.jpg,"[{""height"":42,""label"":""8"",""left"":63,""top"":60,""width"":32},{""height"":41,""label"":""6"",""left"":88,""top"":53,""width"":30}]",256,256,x,
